filename,top 10 words,top 10 bigrams,top 10 verbs_'she',top 10 verbs_'he',top 10 verbs_'they',pronoun ratio_'she',pronoun ratio_'he',pronoun ratio_'they',top 10 collocations,sentiment polarity,dialogue ratio,top 10 coll - body,top 10 coll - intimacy,top 10 coll - identity
burninglights_newtons-first-law.txt,beca chloe says she's eyes beca's back like it's chloe's,'of the' 'on the' 'she says' 'in the' 'of her' 'to the' 'at the' 'out of' 'into the' 'her eyes',say have be know want doesn't can't take give do,say be doesn't smile shake see roll like give win,be hang go win walk talk switch squeeze set see,0.3930465527401296,0.4573643410852713,0.6780487804878049,'beca says' 'chloe says' 'fat amy' 'chloe laughs' 'beca laughs' 'minutes later' 'first time' 'chloe smiles' 'living room' 'blue eyes',0.06317667374503289,0.33803314396726813,chloe's beca's other's protectively meet lower dead,life,
burninglights_running-in-circles.txt,quinn santana said santana's eyes back don't quinn's like going,'of the' 'in the' 'on the' 'she was' 'she had' 'her eyes' 'out of' 'going to' 'it was' 'at the',be have say didn't know get turn do wasn't want,have say be look pay come blush wink stick stammer,be have sit go walk return play do want turn,0.4186822351959967,0.3870967741935484,0.6896551724137931,'quinn said' 'santana said' 'coach johnson' 'changing room' 'santana laughed' 'i'm sorry' 'first time' 'quinn laughed' 'santana lopez' 'new york',0.048484072637231077,0.3498127655993605,santana's other's blonde around santana quinn's quinn curled creeping,light,i'm control assured
jessicax_evolution-of-friends.txt,risty said just like back i'm don't it's know didn't,'in the' 'i was' 'it was' 'of the' 'and i' 'to the' 'at the' 'on the' 'to be' 'but i',be say have do look didn't think smile whisper tell,be say didn't have sigh turn think tell growl get,be have get do try think leave know tell talk,0.46601529311809686,0.4891640866873065,0.7327044025157232,'i'm sure' 'i'm sorry' 'scott said' 'even though' 'best friend' 'risty said' 'could see' 'said quietly' 'felt like' 'could tell',0.046957065332529295,0.5158696008523892,around purple folded entire crossed wide upper trembled risty's long,bite poison can't,destruct astral assured
jessicax_kim-pines-precious.txt,just like knives didn't little really i'm don't back it's,'i was' 'and i' 'it was' 'a little' 'she was' 'but i' 'to be' 'in the' 'that i' 'i could',be have say look go didn't wasn't do giggle ask,be do wasn't didn't say have get start pull want,be have make do think get wave vanish touch talk,0.5187557182067704,0.5700934579439252,0.75,'even though' 'could tell' 'continued chapter' 'princess pine' 'felt like' 'right away' 'feel like' 'something like' 'bob omb' 'sex bob',0.06346968143521206,0.5150606494387102,bottom warm upper started quivered pushed lock entire curled around,could body,conscious really past little
jessicax_psalm-of-the-lark.txt,harley said like i'm don't just back didn't know get,'i was' 'in the' 'and i' 'of the' 'it was' 'she was' 'i don't' 'but i' 'to be' 'i could',be say have laugh didn't whisper look do giggle smile,be say have turn look do grunt didn't go sigh,be have get do tell run make go find decide,0.49653979238754326,0.5231660231660231,0.7704280155642024,'i'm sorry' 'even though' 'said bruce' 'i'm sure' 'felt like' 'make sure' 'end session' 'can't believe' 'could see' 'said harley',0.057090601785984386,0.5822026317774737,around pursed folded black green bottom upper trying trembled shipment,,
jessicax_rhoda-are-you-coming-or-going.txt,mary rhoda just like i'm said it's back know don't,'it was' 'as she' 'in the' 'to be' 'she was' 'to the' 'on the' 'o o' 'of the' 'of her',be have say felt whisper do take know hold couldn't,be go think wasn't say get didn't wave want walk,be have go do kiss want make laugh sit share,0.459958932238193,0.4787234042553192,0.6947040498442367,'mary said' 'rhoda said' 'i'm gonna' 'mary felt' 'i'm sorry' 'rhoda laughed' 'rhoda began' 'maybe i'm' 'mary told' 'mary nodded',0.07387532349782705,0.5787100676307252,rhoda's mary's trembled moistened curled bottom around,i'd foot,
jessicax_the-kasnian-letters.txt,i'm queen queenaugratin audrey just princesspotatoes don't know kasnia watchtower,'watchtower jl' 'queen audrey' 'audrey queen' 'queen kasnia' 'kasnia ksn' 'wonder woman' 'and i' 'ww watchtower' 'but i' 'woman ww',be doesn't won't want refuse read go get,be do have go doesn't write want tell say pick,be promise learn happen do,0.37142857142857144,0.5692307692307692,0.6590909090909091,'queen audrey' 'audrey queen' 'queen kasnia' 'kasnia ksn' 'wonder woman' 'i'm sorry' 'even though' 'i'm going' 'i'm glad' 'i've never',0.10524637437030217,0.012775185028048837,wax,i'd would men,queenie
naughtybutweiss_princess-and-the-dragons.txt,weiss yang i'm just back like don't you're really said,'of the' 'as she' 'she was' 'in the' 'a little' 'to her' 'on the' 'it was' 'she had' 'of her',be have do say felt turn didn't reach look couldn't,sink sigh hiss find bleach,be have walk do talk share shake seem reach pull,0.44366197183098594,0.375,0.7865168539325843,'even though' 'yang said' 'i've never' 'gonna get' 'yang laughed' 'weiss felt' 'hand reached' 'cinder said' 'yang asked' 'xiao long',0.059507795436287286,0.5600643849542528,,i'd,
prealexa_family-heirlooms.txt,tara willow tara's i'm just hand back like eyes felt,'she was' 'of the' 'in the' 'to the' 'of her' 'it was' 'in her' 'she had' 'on the' 'to be',be have felt know couldn't didn't saw want take find,be turn have laugh felt wave want use think straighten,be have make kiss get come turn touch tingle talk,0.517205957883924,0.4409937888198758,0.6143790849673203,'tara looked' 'willow felt' 'tara felt' 'i'm sorry' 'willow could' 'willow's hand' 'tara i'm' 'green eyes' 'could feel' 'tara's hand',0.11076010387162237,0.30252571880770246,tara's around tara softly red fine,tara make,
yuripanda_highway-to-hell.txt,marceline back princess like flame said get time just don't,'of the' 'in the' 'i was' 'flame princess' 'to the' 'with a' 'and i' 'it was' 'in a' 'on the',be say have start come begin suck grab go get,be have saw go do want turn make get yell,be saw run know have want try think stop sell,0.4179389312977099,0.48466257668711654,0.7094017094017094,'flame princess' 'marceline said' 'lady rainicorn' 'back home' 'sleeping bag' 'emerald city' 'ice queen' 'even though' 'yellow brick' 'i've seen',0.07021710823714367,0.3984865080155332,lower whole upper stick outer glowed around,,
